Nutrient_Bank_Number,name,value
57126000,Niacin,16.1
57126000,Retinol,1210
57126000,Riboflavin,1.37
57126000,Sugar_Total,38.6
57126000,Iron,14.5
57126000,Vitamin_A_-_RAE,1210
57126000,Vitamin_B6,1.61
57126000,Vitamin_C,48
57126000,Vitamin_E,10.8
91723020,Carbohydrate,87.85
91723020,Sugar_Total,72.68
91709000,Carbohydrate,87.84
91709000,Sugar_Total,56.88
57340000,Carbohydrate,87.78
91703010,Carbohydrate,87.73
91703010,Sugar_Total,56.32
92900200,Carbohydrate,87.38
92900200,Calcium,1047
92900200,Phosphorus,1239
92900200,Vitamin_C,560
57124200,Carbohydrate,87.2
57124200,Niacin,17.637
57124200,Retinol,1324
57124200,Riboflavin,1.499
57124200,Sugar_Total,43.7
57124200,Thiamin,1.323
57124200,Iron,15.87
57124200,Vitamin_A_-_RAE,1324
57124200,Vitamin_B6,1.764
57124200,Vitamin_C,52.9
57341300,Carbohydrate,87.2
57341300,Niacin,17.637
57341300,Retinol,1324
57341300,Riboflavin,1.499
57341300,Sugar_Total,43.7
57341300,Thiamin,1.323
57341300,Iron,15.87
57341300,Vitamin_A_-_RAE,1324
57341300,Vitamin_B6,1.764
57341300,Vitamin_C,52.9
57148000,Carbohydrate,87.19
57148000,Niacin,24.1
57148000,Riboflavin,2.04
57148000,Thiamin,1.8
57148000,Iron,28
57148000,Vitamin_B6,2.41
57344010,Carbohydrate,87.09
57344010,Fiber,8.5
57344010,Niacin,22.6
57344010,Riboflavin,1.91
57344010,Thiamin,1.69
57344010,Iron,26.1
57344010,Vitamin_B6,2.25
57344010,Vitamin_C,68
57344010,Vitamin_E,15.3
91708150,Carbohydrate,86.9
91708150,Sugar_Total,65
91708150,Calcium,500
91708150,Vitamin_C,180
57805080,Carbohydrate,86.89
57805080,Niacin,20
57805080,Riboflavin,1.5
57805080,Thiamin,1.3
57805080,Calcium,850
57805080,Iron,37
57805080,Phosphorus,423
57341200,Carbohydrate,86.8
57341200,Niacin,40
57341200,Riboflavin,3.4
57341200,Thiamin,3
57341200,Iron,36
57341200,Zinc,30
57341200,Vitamin_B12,12
57341200,Vitamin_B6,4
57341200,Vitamin_E,27
57305170,Carbohydrate,86.75
57305170,Niacin,16.67
57305170,Riboflavin,1.41
57305170,Sugar_Total,48.11
57305170,Thiamin,1.25
57305170,Iron,30
57305170,Zinc,12.5
57305170,Vitamin_B6,1.66
67430000,Carbohydrate,86.68
67430000,Sugar_Total,57.4
57240100,Carbohydrate,86.67
57240100,Niacin,15.6
57240100,Riboflavin,1.29
57240100,Iron,14.1
57240100,Zinc,11.69
57240100,Vitamin_B6,1.56
57238000,Carbohydrate,86.63
57238000,Niacin,15.62
57238000,Riboflavin,1.33
57238000,Vitamin_B6,1.56
57344001,Carbohydrate,86.3
57344001,Fiber,8.6
57344001,Niacin,23.3
57344001,Retinol,744
57344001,Riboflavin,1.98
57344001,Thiamin,1.75
57344001,Iron,27
57344001,Vitamin_A_-_RAE,745
57344001,Vitamin_B6,2.33
57344001,Vitamin_C,70
92193005,Carbohydrate,86.28
92193005,Sugar_Total,66.67
92193005,Saturated_Fat,13.333
57151000,Carbohydrate,86.22
57151000,Niacin,28.967
57151000,Retinol,1136
57151000,Riboflavin,1.288
57151000,Thiamin,2.05
57151000,Iron,32.73
57151000,Vitamin_A_-_RAE,1136
57151000,Vitamin_B6,1.937
57151000,Vitamin_C,64.5
57337000,Carbohydrate,86.22
57337000,Niacin,28.967
57337000,Retinol,1136
57337000,Riboflavin,1.288
57337000,Thiamin,2.05
57337000,Iron,32.73
57337000,Vitamin_A_-_RAE,1136
57337000,Vitamin_B6,1.937
57337000,Vitamin_C,64.5
57407100,Carbohydrate,86.19
57407100,Niacin,18.79
57407100,Riboflavin,1.89
57407100,Thiamin,1.6
57407100,Iron,16.89
57407100,Zinc,14.1
57407100,Vitamin_B6,2.18
57223000,Carbohydrate,86.1
57223000,Niacin,18.52
57223000,Retinol,833
57223000,Riboflavin,1.57
57223000,Thiamin,1.39
57223000,Vitamin_A_-_RAE,833
57223000,Vitamin_B6,1.85
57805500,Carbohydrate,85.98
57805500,Niacin,16
57805500,Iron,47.6
57221700,Carbohydrate,85.94
57221700,Niacin,15.63
57221700,Riboflavin,1.33
57221700,Sugar_Total,45.31
57221700,Iron,28.12
57221700,Zinc,11.72
57221700,Vitamin_B6,1.55
57306800,Carbohydrate,85.94
57306800,Niacin,15.63
57306800,Riboflavin,1.33
57306800,Sugar_Total,45.31
57306800,Iron,28.12
57306800,Zinc,11.72
57306800,Vitamin_B6,1.55
57119000,Carbohydrate,85.93
57119000,Niacin,20.75
57119000,Riboflavin,1.8
57119000,Sugar_Total,44.2
57119000,Thiamin,1.6
57119000,Iron,19.8
57119000,Zinc,15.56
57119000,Vitamin_B6,2.14
57117500,Carbohydrate,85.92
57117500,Niacin,21.736
57117500,Riboflavin,1.846
57117500,Sugar_Total,44.31
57117500,Thiamin,1.635
57117500,Iron,19.78
57117500,Zinc,16.36
57117500,Vitamin_B6,2.179
54350020,Carbohydrate,85.79
54350020,Niacin,28.767
54350020,Riboflavin,2.267
54350020,Thiamin,1.563
54350020,Calcium,535
54350020,Iron,24.74
54350020,Phosphorus,448
54350020,Zinc,17.46
54350020,Vitamin_B6,1.8
54350020,Vitamin_E,10.33
57127000,Carbohydrate,85.7
57127000,Niacin,17.2
57127000,Retinol,776
57127000,Riboflavin,1.5
57127000,Thiamin,1.3
57127000,Vitamin_A_-_RAE,776
57127000,Vitamin_B6,1.7
57339500,Carbohydrate,85.59
57339500,Niacin,16.7
57339500,Riboflavin,1.41
57339500,Thiamin,1.25
57339500,Vitamin_B6,1.66
57117000,Carbohydrate,85.51
57117000,Niacin,21.465
57117000,Riboflavin,1.822
57117000,Sugar_Total,44.32
57117000,Thiamin,1.614
57117000,Iron,19.42
57117000,Zinc,16.16
57117000,Vitamin_B6,2.138
57211000,Carbohydrate,85.4
57211000,Niacin,15.19
57211000,Riboflavin,1.29
57211000,Iron,13.6
57211000,Zinc,11.39
57211000,Vitamin_B6,1.51
57344015,Carbohydrate,85.3
57344015,Fiber,8.1
57344015,Niacin,21.9
57344015,Retinol,702
57344015,Riboflavin,1.86
57344015,Thiamin,1.64
57344015,Iron,25.3
57344015,Vitamin_B6,2.19
57344015,Vitamin_C,66
57125900,Carbohydrate,85.2
91301050,Carbohydrate,85.13
91301050,Sugar_Total,53
57224000,Carbohydrate,85.1
57224000,Niacin,16.1
57224000,Riboflavin,1.4
57224000,Iron,14.5
57224000,Zinc,12.1
57224000,Vitamin_B6,1.613
57305400,Carbohydrate,85.1
57305400,Niacin,16.1
57305400,Riboflavin,1.4
57305400,Iron,14.5
57305400,Zinc,12.1
57305400,Vitamin_B6,1.613
57336000,Carbohydrate,85.09
57336000,Niacin,18.5
57336000,Riboflavin,1.6
57336000,Thiamin,1.39
57336000,Calcium,370
57336000,Iron,33.29
57336000,Zinc,13.89
57336000,Vitamin_B6,1.85
57339000,Carbohydrate,85.05
57339000,Niacin,17.967
57339000,Retinol,1136
57339000,Riboflavin,1.29
57339000,Thiamin,1.77
57339000,Iron,30.42
57339000,Vitamin_A_-_RAE,1136
57339000,Vitamin_B6,2.35
57339000,Vitamin_C,63.3
57339000,Vitamin_E,26.64
57132000,Carbohydrate,85
57132000,Niacin,16.1
57132000,Riboflavin,1.39
57132000,Iron,26.1
57132000,Zinc,12.1
57132000,Vitamin_B6,1.61
57330010,Carbohydrate,84.9
57330010,Fiber,8
91736000,Carbohydrate,84.86
91736000,Sugar_Total,83.75
57305150,Carbohydrate,84.7
57305150,Niacin,17.64
57305150,Riboflavin,1.5
57305150,Thiamin,1.32
57305150,Iron,15
57305150,Vitamin_B6,1.76
57106060,Carbohydrate,84.69
57106060,Niacin,17.89
57106060,Riboflavin,1.5
57106060,Thiamin,1.29
57106060,Calcium,357
57106060,Iron,16.1
57106060,Zinc,13.39
57106060,Vitamin_B6,1.78
57106060,Vitamin_C,53.6
57130000,Carbohydrate,84.5
57130000,Niacin,19.2
57130000,Riboflavin,1.6
57130000,Thiamin,1.4
57130000,Calcium,385
57130000,Iron,17.3
57130000,Zinc,14.4
57130000,Vitamin_B6,1.923
57139000,Carbohydrate,84.5
57139000,Niacin,18.5
57139000,Riboflavin,1.6
57139000,Thiamin,1.39
57139000,Calcium,370
57139000,Iron,16.7
57139000,Zinc,13.89
57139000,Vitamin_B6,1.85
57124300,Carbohydrate,84.4
57124300,Niacin,17.89
57124300,Riboflavin,1.5
57124300,Thiamin,1.29
57124300,Calcium,357
57124300,Iron,16.1
57124300,Zinc,13.39
57124300,Vitamin_B6,1.78
91708030,Carbohydrate,84.31
91708030,Sugar_Total,53.37
91708030,Vitamin_C,88
57206700,Carbohydrate,84.3
57206700,Fiber,46.2
57206700,Niacin,16.7
57206700,Riboflavin,1.39
57206700,Thiamin,1.29
57206700,Iron,15
57206700,Zinc,12.5
57206700,Vitamin_B6,1.66
57221810,Carbohydrate,84.19
57221810,Niacin,18.5
57221810,Riboflavin,1.6
57221810,Thiamin,1.39
57221810,Calcium,370
57221810,Iron,16.7
57221810,Zinc,13.89
57221810,Vitamin_B6,1.85
57221810,Vitamin_C,55.6
57134000,Carbohydrate,84.1
57134000,Niacin,17.9
57134000,Riboflavin,1.52
57134000,Thiamin,1.34
57134000,Iron,28.9
57134000,Vitamin_B6,1.79
57135000,Carbohydrate,84.1
57135000,Niacin,17.9
57135000,Riboflavin,1.52
57135000,Thiamin,1.34
57135000,Iron,28.9
57135000,Vitamin_B6,1.79
53222010,Carbohydrate,84
53222010,Sugar_Total,45.42
53246000,Carbohydrate,84
53246000,Sugar_Total,45.42
57326000,Carbohydrate,84
57326000,Fiber,18.5
57326000,Vitamin_C,55.6
57206710,Carbohydrate,83.9
57206710,Fiber,19
57206710,Niacin,19.2
57206710,Riboflavin,1.6
57206710,Iron,31.2
57206710,Zinc,14.39
